sentiment,sentiment_confidence,entity_completeness,amenities_count,budget_amount,turn_count,message_length,score,tier,label_source,lead_features_id
enthusiastic,0.9620271921157837,0.75,3,,2,77,57.74,warm,heuristic_bootstrap,354
frustrated,0.9515742063522339,0.75,3,,2,62,32.82,cold,heuristic_bootstrap,674
hesitant,0.9450278878211975,1.0,1,4500000.0,2,87,70.63,hot,heuristic_bootstrap,508
enthusiastic,0.9632146954536438,1.0,3,10000000.0,2,86,88.61,hot,heuristic_bootstrap,427
frustrated,0.9337173104286194,0.75,3,,2,64,33.18,cold,heuristic_bootstrap,133
hesitant,0.9435583353042603,0.75,2,,2,58,41.45,warm,heuristic_bootstrap,491
frustrated,0.9533455967903137,1.0,1,8000000.0,2,95,59.25,warm,heuristic_bootstrap,367
frustrated,0.9529365301132202,1.0,2,5000000.0,2,93,62.12,warm,heuristic_bootstrap,267
frustrated,0.950128436088562,0.75,2,,2,72,30.51,cold,heuristic_bootstrap,119
hesitant,0.945698618888855,0.75,2,,2,75,42.58,warm,heuristic_bootstrap,34
enthusiastic,0.9550774097442627,0.75,2,,2,54,53.12,warm,heuristic_bootstrap,317
enthusiastic,0.9614375233650208,0.75,1,,2,67,51.07,warm,heuristic_bootstrap,582
frustrated,0.9566090703010559,1.0,3,8000000.0,2,88,64.74,warm,heuristic_bootstrap,635
hesitant,0.9359748363494873,0.75,3,,2,69,45.18,warm,heuristic_bootstrap,415
enthusiastic,0.9629690051078796,1.0,2,8000000.0,2,74,84.8,hot,heuristic_bootstrap,420
frustrated,0.9545027017593384,0.75,2,,2,70,30.32,cold,heuristic_bootstrap,537
frustrated,0.9539884924888611,1.0,3,4500000.0,2,84,64.51,warm,heuristic_bootstrap,476
enthusiastic,0.9570801258087158,0.75,2,,2,68,54.08,warm,heuristic_bootstrap,65
enthusiastic,0.9534026980400085,0.75,1,,2,66,50.9,warm,heuristic_bootstrap,93
enthusiastic,0.9583603739738464,0.75,3,,2,58,56.43,warm,heuristic_bootstrap,79
enthusiastic,0.9626992344856262,1.0,1,8000000.0,2,72,81.67,hot,heuristic_bootstrap,269
enthusiastic,0.9585326313972473,0.75,2,,2,54,53.16,warm,heuristic_bootstrap,97
frustrated,0.9356493353843689,0.75,1,,2,65,27.22,cold,heuristic_bootstrap,41
frustrated,0.9370771646499634,1.0,3,6500000.0,2,90,65.12,warm,heuristic_bootstrap,191
hesitant,0.9442219734191895,0.75,2,,2,72,42.38,warm,heuristic_bootstrap,366
frustrated,0.95421302318573,1.0,2,8000000.0,2,93,62.11,warm,heuristic_bootstrap,521
enthusiastic,0.9635846018791199,0.75,2,,2,69,54.23,warm,heuristic_bootstrap,151
frustrated,0.9404902458190918,0.75,2,,2,68,30.36,cold,heuristic_bootstrap,194
hesitant,0.9363855123519897,0.75,2,,2,64,41.85,warm,heuristic_bootstrap,342
enthusiastic,0.9616886377334595,0.75,1,,2,76,51.67,warm,heuristic_bootstrap,199
frustrated,0.9319360256195068,1.0,1,5000000.0,2,88,59.05,warm,heuristic_bootstrap,59
hesitant,0.9371019005775452,0.75,1,,2,66,38.98,cold,heuristic_bootstrap,16
hesitant,0.9461830258369446,0.75,2,,2,74,42.52,warm,heuristic_bootstrap,473
hesitant,0.9416679739952087,0.75,1,,2,74,39.52,cold,heuristic_bootstrap,572
frustrated,0.9514806270599365,0.75,2,,2,63,29.89,cold,heuristic_bootstrap,193
hesitant,0.9462593197822571,0.75,1,,2,72,39.38,cold,heuristic_bootstrap,543
enthusiastic,0.9617103338241577,1.0,1,5000000.0,2,74,81.79,hot,heuristic_bootstrap,144
enthusiastic,0.9528289437294006,0.75,1,,2,62,50.63,warm,heuristic_bootstrap,327
hesitant,0.946608304977417,0.75,1,,2,61,38.65,cold,heuristic_bootstrap,640
hesitant,0.9251328706741333,0.75,1,,2,68,39.12,cold,heuristic_bootstrap,397
frustrated,0.9510561227798462,1.0,1,5000000.0,2,92,59.08,warm,heuristic_bootstrap,365
hesitant,0.9415679574012756,0.75,1,,2,72,39.38,cold,heuristic_bootstrap,210
enthusiastic,0.9627012610435486,1.0,3,6500000.0,2,73,87.73,hot,heuristic_bootstrap,309
hesitant,0.9383150935173035,1.0,3,4500000.0,2,70,75.5,hot,heuristic_bootstrap,57
frustrated,0.9350736141204834,0.75,1,,2,64,27.16,cold,heuristic_bootstrap,558
hesitant,0.9446671009063721,1.0,2,8000000.0,2,91,73.9,hot,heuristic_bootstrap,695
hesitant,0.9469581842422485,0.75,1,,2,72,39.38,cold,heuristic_bootstrap,308
frustrated,0.9370472431182861,0.75,2,,2,69,30.47,cold,heuristic_bootstrap,322
hesitant,0.9419724941253662,1.0,1,8000000.0,2,70,69.5,warm,heuristic_bootstrap,213
hesitant,0.9501705169677734,1.0,1,4500000.0,2,74,69.77,warm,heuristic_bootstrap,242
hesitant,0.9464672207832336,0.75,1,,2,69,39.18,cold,heuristic_bootstrap,381
enthusiastic,0.9567388892173767,0.75,3,,2,62,56.68,warm,heuristic_bootstrap,673
hesitant,0.947128176689148,1.0,1,12000000.0,2,70,69.5,warm,heuristic_bootstrap,316
hesitant,0.9335694909095764,1.0,3,4500000.0,2,75,75.83,hot,heuristic_bootstrap,107
frustrated,0.9546589255332947,0.75,1,,2,65,26.98,cold,heuristic_bootstrap,257
enthusiastic,0.95870441198349,0.75,3,,2,55,56.23,warm,heuristic_bootstrap,294
frustrated,0.9354287385940552,0.75,3,,2,69,33.49,cold,heuristic_bootstrap,163
hesitant,0.9477235078811646,1.0,3,6500000.0,2,71,75.57,hot,heuristic_bootstrap,63
frustrated,0.948695957660675,1.0,1,8000000.0,2,84,58.57,warm,heuristic_bootstrap,214
frustrated,0.9521531462669373,1.0,3,3000000.0,2,84,64.53,warm,heuristic_bootstrap,255
enthusiastic,0.9625290036201477,0.75,1,,2,60,50.61,warm,heuristic_bootstrap,350
hesitant,0.9366151094436646,0.75,2,,2,59,41.52,warm,heuristic_bootstrap,685
hesitant,0.9426140189170837,0.75,3,,2,57,44.38,warm,heuristic_bootstrap,298
hesitant,0.943134069442749,0.75,1,,2,79,39.85,cold,heuristic_bootstrap,555
enthusiastic,0.9618807435035706,0.75,3,,2,72,57.41,warm,heuristic_bootstrap,561
hesitant,0.9407657980918884,0.75,3,,2,61,44.65,warm,heuristic_bootstrap,24
frustrated,0.9559627175331116,0.75,2,,2,74,30.57,cold,heuristic_bootstrap,437
hesitant,0.9397335648536682,0.75,3,,2,66,44.98,warm,heuristic_bootstrap,535
frustrated,0.9477946162223816,0.75,1,,2,60,26.74,cold,heuristic_bootstrap,514
frustrated,0.953034520149231,0.75,1,,2,63,26.87,cold,heuristic_bootstrap,398
enthusiastic,0.9620552659034729,0.75,1,,2,75,51.61,warm,heuristic_bootstrap,44
frustrated,0.9331912398338318,1.0,2,12000000.0,2,72,60.97,warm,heuristic_bootstrap,495
enthusiastic,0.9631655812263489,0.75,2,,2,72,54.42,warm,heuristic_bootstrap,220
frustrated,0.9302135109901428,1.0,2,5000000.0,2,66,60.61,warm,heuristic_bootstrap,326
enthusiastic,0.9625175595283508,0.75,1,,2,83,52.15,warm,heuristic_bootstrap,265
enthusiastic,0.96273273229599,1.0,2,3000000.0,2,74,84.8,hot,heuristic_bootstrap,262
frustrated,0.9309406876564026,1.0,2,10000000.0,2,82,61.66,warm,heuristic_bootstrap,120
enthusiastic,0.9633336067199707,0.75,3,,2,62,56.76,warm,heuristic_bootstrap,304
frustrated,0.9355592727661133,0.75,2,,2,60,29.89,cold,heuristic_bootstrap,545
hesitant,0.9451741576194763,0.75,2,,2,74,42.52,warm,heuristic_bootstrap,232
frustrated,0.9373566508293152,1.0,3,3000000.0,2,84,64.72,warm,heuristic_bootstrap,425
hesitant,0.9400690197944641,1.0,2,5000000.0,2,63,72.03,hot,heuristic_bootstrap,330
enthusiastic,0.9634944796562195,0.75,2,,2,72,54.43,warm,heuristic_bootstrap,626
hesitant,0.9434854984283447,1.0,2,5000000.0,2,70,72.5,hot,heuristic_bootstrap,363
frustrated,0.9284197092056274,1.0,1,12000000.0,2,91,59.29,warm,heuristic_bootstrap,562
enthusiastic,0.9626219272613525,0.75,1,,2,74,51.55,warm,heuristic_bootstrap,141
enthusiastic,0.9622647166252136,1.0,1,12000000.0,2,74,81.79,hot,heuristic_bootstrap,192
frustrated,0.9395424723625183,0.75,2,,2,61,29.91,cold,heuristic_bootstrap,78
hesitant,0.9425505995750427,1.0,1,8000000.0,2,89,70.77,hot,heuristic_bootstrap,340
enthusiastic,0.9625261425971985,0.75,2,,2,87,55.41,warm,heuristic_bootstrap,287
hesitant,0.937874972820282,0.75,3,,2,63,44.78,warm,heuristic_bootstrap,700
enthusiastic,0.9594224095344543,0.75,3,,2,64,56.84,warm,heuristic_bootstrap,263
frustrated,0.9324487447738647,0.75,3,,2,57,32.73,cold,heuristic_bootstrap,466
hesitant,0.9334120750427246,1.0,1,10000000.0,2,69,69.43,warm,heuristic_bootstrap,188
hesitant,0.9371660351753235,1.0,1,8000000.0,2,88,70.7,hot,heuristic_bootstrap,382
enthusiastic,0.9587634801864624,0.75,3,,2,59,56.5,warm,heuristic_bootstrap,597
frustrated,0.9510177373886108,0.75,3,,2,69,33.3,cold,heuristic_bootstrap,612
hesitant,0.9410924315452576,0.75,3,,2,69,45.18,warm,heuristic_bootstrap,321
hesitant,0.9435190558433533,0.75,3,,2,67,45.05,warm,heuristic_bootstrap,291
frustrated,0.9478397965431213,0.75,3,,2,61,32.8,cold,heuristic_bootstrap,361
frustrated,0.9445967078208923,0.75,2,,2,58,29.64,cold,heuristic_bootstrap,636
frustrated,0.9525330662727356,1.0,1,12000000.0,2,70,57.59,warm,heuristic_bootstrap,569
enthusiastic,0.9626580476760864,0.75,2,,2,75,54.62,warm,heuristic_bootstrap,405
hesitant,0.9391692280769348,0.75,2,,2,54,41.18,warm,heuristic_bootstrap,432
enthusiastic,0.9625342488288879,0.75,3,,2,68,57.15,warm,heuristic_bootstrap,404
hesitant,0.9473963379859924,0.75,3,,2,75,45.58,warm,heuristic_bootstrap,130
hesitant,0.9391797780990601,1.0,2,5000000.0,2,71,72.57,hot,heuristic_bootstrap,493
frustrated,0.9547083377838135,1.0,2,4500000.0,2,72,60.7,warm,heuristic_bootstrap,676
enthusiastic,0.9620290994644165,0.75,1,,2,71,51.34,warm,heuristic_bootstrap,403
hesitant,0.9470492601394653,0.75,1,,2,85,40.25,warm,heuristic_bootstrap,507
enthusiastic,0.9621239900588989,0.75,3,,2,72,57.41,warm,heuristic_bootstrap,223
enthusiastic,0.9635666608810425,1.0,1,4500000.0,2,86,82.61,hot,heuristic_bootstrap,678
hesitant,0.9394374489784241,0.75,3,,2,67,45.05,warm,heuristic_bootstrap,238
enthusiastic,0.9587399959564209,0.75,3,,2,59,56.5,warm,heuristic_bootstrap,477
enthusiastic,0.9629336595535278,0.75,2,,2,67,54.09,warm,heuristic_bootstrap,248
hesitant,0.939770519733429,0.75,2,,2,69,42.18,warm,heuristic_bootstrap,111
hesitant,0.9457889795303345,0.75,2,,2,69,42.18,warm,heuristic_bootstrap,456
frustrated,0.9337742924690247,0.75,1,,2,62,27.04,cold,heuristic_bootstrap,445
frustrated,0.9492548704147339,0.75,1,,2,69,27.32,cold,heuristic_bootstrap,172
hesitant,0.9353151917457581,1.0,1,3000000.0,2,68,69.37,warm,heuristic_bootstrap,189
hesitant,0.9335500597953796,1.0,1,10000000.0,2,91,70.9,hot,heuristic_bootstrap,494
frustrated,0.9398446679115295,0.75,1,,2,69,27.44,cold,heuristic_bootstrap,185
frustrated,0.952398419380188,0.75,1,,2,62,26.81,cold,heuristic_bootstrap,658
frustrated,0.9547123908996582,1.0,3,8000000.0,2,65,63.23,warm,heuristic_bootstrap,637
enthusiastic,0.9558551907539368,1.0,1,6500000.0,2,62,80.91,hot,heuristic_bootstrap,384
enthusiastic,0.9563663601875305,0.75,3,,2,62,56.67,warm,heuristic_bootstrap,369
hesitant,0.944132387638092,1.0,1,3000000.0,2,79,70.1,hot,heuristic_bootstrap,682
hesitant,0.9445468187332153,1.0,3,5000000.0,2,91,76.9,hot,heuristic_bootstrap,606
hesitant,0.9473016262054443,0.75,2,,2,73,42.45,warm,heuristic_bootstrap,295
enthusiastic,0.9575249552726746,1.0,1,8000000.0,2,62,80.94,hot,heuristic_bootstrap,573
hesitant,0.9351425170898438,0.75,2,,2,63,41.78,warm,heuristic_bootstrap,352
frustrated,0.9502660036087036,0.75,3,,2,59,32.64,cold,heuristic_bootstrap,485
enthusiastic,0.9542982578277588,0.75,1,,2,64,50.78,warm,heuristic_bootstrap,148
enthusiastic,0.9628047943115234,0.75,1,,2,66,51.02,warm,heuristic_bootstrap,462
frustrated,0.9367016553878784,0.75,3,,2,67,33.34,cold,heuristic_bootstrap,519
hesitant,0.938389778137207,0.75,3,,2,64,44.85,warm,heuristic_bootstrap,489
hesitant,0.9438052177429199,1.0,3,8000000.0,2,76,75.9,hot,heuristic_bootstrap,156
frustrated,0.9376171231269836,0.75,1,,2,70,27.53,cold,heuristic_bootstrap,303
frustrated,0.9356293678283691,0.75,3,,2,71,33.62,cold,heuristic_bootstrap,525
hesitant,0.945167601108551,0.75,2,,2,73,42.45,warm,heuristic_bootstrap,202
frustrated,0.938320517539978,0.75,1,,2,65,27.19,cold,heuristic_bootstrap,286
enthusiastic,0.9583636522293091,0.75,1,,2,62,50.7,warm,heuristic_bootstrap,89
hesitant,0.9380570650100708,1.0,3,8000000.0,2,88,76.7,hot,heuristic_bootstrap,408
hesitant,0.9338760375976562,0.75,1,,2,57,38.38,cold,heuristic_bootstrap,153
enthusiastic,0.9622076153755188,0.75,2,,2,74,54.54,warm,heuristic_bootstrap,475
frustrated,0.9501298666000366,0.75,2,,2,82,31.17,cold,heuristic_bootstrap,10
hesitant,0.9401842951774597,1.0,1,5000000.0,2,76,69.9,warm,heuristic_bootstrap,620
enthusiastic,0.9623609781265259,0.75,2,,2,77,54.75,warm,heuristic_bootstrap,149
enthusiastic,0.9629741311073303,0.75,2,,2,66,54.02,warm,heuristic_bootstrap,46
hesitant,0.9403432011604309,1.0,3,3000000.0,2,67,75.3,hot,heuristic_bootstrap,557
frustrated,0.9360202550888062,0.75,2,,2,66,30.28,cold,heuristic_bootstrap,483
frustrated,0.9524304270744324,0.75,1,,2,69,27.28,cold,heuristic_bootstrap,393
enthusiastic,0.9626928567886353,0.75,2,,2,76,54.68,warm,heuristic_bootstrap,440
enthusiastic,0.9576407074928284,0.75,2,,2,60,53.55,warm,heuristic_bootstrap,551
frustrated,0.9524441361427307,1.0,3,6500000.0,2,100,65.59,warm,heuristic_bootstrap,138
enthusiastic,0.9623121619224548,0.75,1,,2,71,51.35,warm,heuristic_bootstrap,216
hesitant,0.939320981502533,0.75,1,,2,62,38.72,cold,heuristic_bootstrap,467
frustrated,0.9529305100440979,0.75,3,,2,70,33.34,cold,heuristic_bootstrap,252
frustrated,0.9340049028396606,1.0,2,12000000.0,2,95,62.49,warm,heuristic_bootstrap,131
hesitant,0.9468043446540833,0.75,2,,2,76,42.65,warm,heuristic_bootstrap,165
enthusiastic,0.9598151445388794,1.0,2,12000000.0,2,83,85.36,hot,heuristic_bootstrap,691
frustrated,0.9393821954727173,0.75,1,,2,66,27.24,cold,heuristic_bootstrap,412
enthusiastic,0.9540429711341858,0.75,3,,2,60,56.51,warm,heuristic_bootstrap,198
frustrated,0.9344224333763123,0.75,3,,2,63,33.1,cold,heuristic_bootstrap,18
enthusiastic,0.9576865434646606,0.75,1,,2,59,50.49,warm,heuristic_bootstrap,222
enthusiastic,0.9628773927688599,0.75,1,,2,78,51.82,warm,heuristic_bootstrap,458
hesitant,0.9372392296791077,1.0,2,3000000.0,2,67,72.3,hot,heuristic_bootstrap,428
enthusiastic,0.9624804258346558,1.0,3,6500000.0,2,73,87.73,hot,heuristic_bootstrap,392
hesitant,0.9475786685943604,1.0,1,4500000.0,2,70,69.5,warm,heuristic_bootstrap,484
frustrated,0.9395797252655029,0.75,1,,2,71,27.57,cold,heuristic_bootstrap,169
hesitant,0.9452857971191406,0.75,3,,2,65,44.92,warm,heuristic_bootstrap,671
frustrated,0.9373447299003601,0.75,1,,2,62,27.0,cold,heuristic_bootstrap,546
frustrated,0.9555354118347168,0.75,1,,2,66,27.04,cold,heuristic_bootstrap,117
enthusiastic,0.9581680297851562,1.0,2,5000000.0,2,62,83.94,hot,heuristic_bootstrap,554
hesitant,0.9370650053024292,0.75,1,,2,67,39.05,cold,heuristic_bootstrap,180
enthusiastic,0.9623315930366516,0.75,3,,2,73,57.48,warm,heuristic_bootstrap,517
frustrated,0.9366651177406311,1.0,1,12000000.0,2,68,57.66,warm,heuristic_bootstrap,103
frustrated,0.9515404105186462,0.75,1,,2,63,26.89,cold,heuristic_bootstrap,114
enthusiastic,0.9638747572898865,0.75,1,,2,73,51.5,warm,heuristic_bootstrap,241
frustrated,0.935039758682251,1.0,3,8000000.0,2,91,65.21,warm,heuristic_bootstrap,623
enthusiastic,0.9627530574798584,1.0,3,10000000.0,2,68,87.4,hot,heuristic_bootstrap,196
hesitant,0.9454630017280579,0.75,3,,2,73,45.45,warm,heuristic_bootstrap,510
frustrated,0.9538232088088989,1.0,1,3000000.0,2,71,57.64,warm,heuristic_bootstrap,638
enthusiastic,0.9639689326286316,0.75,1,,2,67,51.1,warm,heuristic_bootstrap,137
frustrated,0.937048077583313,0.75,1,,2,70,27.54,cold,heuristic_bootstrap,649
frustrated,0.9527607560157776,0.75,3,,2,66,33.07,cold,heuristic_bootstrap,496
enthusiastic,0.9620359539985657,0.75,2,,2,74,54.54,warm,heuristic_bootstrap,307
frustrated,0.9563944935798645,0.75,2,,2,74,30.56,cold,heuristic_bootstrap,92
enthusiastic,0.963927149772644,1.0,1,4500000.0,2,87,82.68,hot,heuristic_bootstrap,13
hesitant,0.9321874976158142,0.75,3,,2,61,44.65,warm,heuristic_bootstrap,212
hesitant,0.9410772323608398,0.75,1,,2,69,39.18,cold,heuristic_bootstrap,91
enthusiastic,0.9588487148284912,1.0,1,8000000.0,2,83,82.35,hot,heuristic_bootstrap,84
enthusiastic,0.9639947414398193,1.0,1,4500000.0,2,96,83.28,hot,heuristic_bootstrap,436
enthusiastic,0.9625169038772583,0.75,2,,2,71,54.35,warm,heuristic_bootstrap,611
hesitant,0.9370280504226685,0.75,3,,2,60,44.58,warm,heuristic_bootstrap,531
frustrated,0.9348211288452148,1.0,3,6500000.0,2,88,65.01,warm,heuristic_bootstrap,481
hesitant,0.9359134435653687,0.75,3,,2,65,44.92,warm,heuristic_bootstrap,53
enthusiastic,0.9624740481376648,1.0,1,3000000.0,2,73,81.73,hot,heuristic_bootstrap,453
hesitant,0.9440097808837891,0.75,2,,2,72,42.38,warm,heuristic_bootstrap,528
hesitant,0.9413082599639893,0.75,3,,2,65,44.92,warm,heuristic_bootstrap,184
enthusiastic,0.9625021815299988,0.75,1,,2,85,52.28,warm,heuristic_bootstrap,378
frustrated,0.9483190178871155,0.75,2,,2,61,29.8,cold,heuristic_bootstrap,187
frustrated,0.951042115688324,0.75,1,,2,70,27.36,cold,heuristic_bootstrap,158
hesitant,0.9421977400779724,0.75,3,,2,56,44.32,warm,heuristic_bootstrap,683
frustrated,0.955096423625946,1.0,1,5000000.0,2,94,59.16,warm,heuristic_bootstrap,556
enthusiastic,0.9615898728370667,0.75,1,,2,67,51.07,warm,heuristic_bootstrap,482
frustrated,0.9522707462310791,0.75,2,,2,70,30.35,cold,heuristic_bootstrap,76
hesitant,0.9474445581436157,0.75,1,,2,68,39.12,cold,heuristic_bootstrap,302
enthusiastic,0.9631576538085938,0.75,2,,2,74,54.56,warm,heuristic_bootstrap,341
hesitant,0.942016065120697,0.75,1,,2,75,39.58,cold,heuristic_bootstrap,19
